date,no2_mol_m2
01-01-2024,2.60E-04
02-01-2024,3.21E-04
03-01-2024,3.13E-04
04-01-2024,2.08E-04
05-01-2024,1.96E-04
06-01-2024,2.30E-04
07-01-2024,3.13E-04
08-01-2024,3.72E-04
09-01-2024,8.78E-05
10-01-2024,1.89E-04
11-01-2024,3.11E-04
12-01-2024,2.44E-04
13-01-2024,5.13E-04
14-01-2024,
15-01-2024,
16-01-2024,2.53E-04
17-01-2024,3.93E-04
18-01-2024,4.59E-04
19-01-2024,3.19E-04
20-01-2024,4.04E-04
21-01-2024,1.83E-04
22-01-2024,4.65E-04
23-01-2024,5.92E-04
24-01-2024,3.65E-04
25-01-2024,5.18E-04
26-01-2024,5.61E-04
27-01-2024,1.75E-04
28-01-2024,
29-01-2024,2.36E-04
30-01-2024,6.66E-04
31-01-2024,
01-02-2024,7.56E-05
02-02-2024,1.44E-04
03-02-2024,1.32E-04
04-02-2024,
05-02-2024,1.33E-04
06-02-2024,
07-02-2024,1.10E-04
08-02-2024,9.96E-05
09-02-2024,2.05E-04
10-02-2024,3.54E-04
11-02-2024,2.66E-04
12-02-2024,
13-02-2024,6.00E-04
14-02-2024,1.82E-04
15-02-2024,
16-02-2024,
17-02-2024,1.75E-04
18-02-2024,1.82E-04
19-02-2024,1.13E-04
20-02-2024,2.47E-04
21-02-2024,
22-02-2024,1.54E-04
23-02-2024,1.37E-04
24-02-2024,3.30E-04
25-02-2024,
26-02-2024,3.47E-04
27-02-2024,1.51E-04
28-02-2024,1.35E-04
29-02-2024,1.71E-04
01-03-2024,2.92E-04
02-03-2024,1.02E-04
03-03-2024,
04-03-2024,2.18E-04
05-03-2024,1.49E-04
06-03-2024,1.55E-04
07-03-2024,1.15E-04
08-03-2024,1.45E-04
09-03-2024,
10-03-2024,1.40E-04
11-03-2024,1.95E-04
12-03-2024,1.64E-04
13-03-2024,2.00E-04
14-03-2024,1.48E-04
15-03-2024,1.46E-04
16-03-2024,2.10E-04
17-03-2024,2.10E-04
18-03-2024,1.51E-04
19-03-2024,2.13E-04
20-03-2024,1.29E-04
21-03-2024,1.55E-04
22-03-2024,1.78E-04
23-03-2024,
24-03-2024,
25-03-2024,
26-03-2024,1.04E-04
27-03-2024,1.93E-04
28-03-2024,2.42E-04
29-03-2024,2.30E-04
30-03-2024,2.04E-04
31-03-2024,1.37E-04
01-04-2024,1.12E-04
02-04-2024,1.31E-04
03-04-2024,4.56E-04
04-04-2024,1.92E-04
05-04-2024,1.12E-04
06-04-2024,1.35E-04
07-04-2024,1.37E-04
08-04-2024,1.59E-04
09-04-2024,3.82E-04
10-04-2024,1.86E-04
11-04-2024,1.62E-04
12-04-2024,2.29E-04
13-04-2024,1.94E-04
14-04-2024,1.09E-04
15-04-2024,1.94E-04
16-04-2024,1.49E-04
17-04-2024,1.51E-04
18-04-2024,1.41E-04
19-04-2024,1.32E-04
20-04-2024,1.57E-04
21-04-2024,1.09E-04
22-04-2024,1.49E-04
23-04-2024,1.65E-04
24-04-2024,1.83E-04
25-04-2024,1.64E-04
26-04-2024,2.33E-04
27-04-2024,1.35E-04
28-04-2024,1.41E-04
29-04-2024,2.13E-04
30-04-2024,1.73E-04
01-05-2024,1.48E-04
02-05-2024,1.50E-04
03-05-2024,1.47E-04
04-05-2024,1.86E-04
05-05-2024,1.92E-04
06-05-2024,1.83E-04
07-05-2024,2.78E-04
08-05-2024,1.63E-04
09-05-2024,1.55E-04
10-05-2024,1.70E-04
11-05-2024,2.61E-04
12-05-2024,1.63E-04
13-05-2024,2.16E-04
14-05-2024,2.21E-04
15-05-2024,1.81E-04
16-05-2024,2.87E-04
17-05-2024,2.74E-04
18-05-2024,2.29E-04
19-05-2024,1.38E-04
20-05-2024,1.53E-04
21-05-2024,2.10E-04
22-05-2024,1.69E-04
23-05-2024,1.54E-04
24-05-2024,1.66E-04
25-05-2024,1.54E-04
26-05-2024,1.63E-04
27-05-2024,2.27E-04
28-05-2024,2.83E-04
29-05-2024,1.83E-04
30-05-2024,1.68E-04
31-05-2024,1.67E-04
01-06-2024,1.21E-04
02-06-2024,1.67E-04
03-06-2024,1.57E-04
04-06-2024,1.50E-04
05-06-2024,1.36E-04
06-06-2024,2.38E-04
07-06-2024,1.72E-04
08-06-2024,1.25E-04
09-06-2024,1.28E-04
10-06-2024,1.13E-04
11-06-2024,1.64E-04
12-06-2024,1.74E-04
13-06-2024,1.42E-04
14-06-2024,1.14E-04
15-06-2024,1.14E-04
16-06-2024,1.34E-04
17-06-2024,1.32E-04
18-06-2024,1.15E-04
19-06-2024,1.18E-04
20-06-2024,8.63E-05
21-06-2024,1.89E-04
22-06-2024,1.83E-04
23-06-2024,2.09E-04
24-06-2024,2.15E-04
25-06-2024,1.82E-04
26-06-2024,2.22E-04
27-06-2024,1.62E-04
28-06-2024,2.00E-04
29-06-2024,2.04E-04
30-06-2024,1.16E-04
01-07-2024,1.22E-04
02-07-2024,1.57E-04
03-07-2024,
04-07-2024,1.50E-04
05-07-2024,1.33E-04
06-07-2024,1.32E-04
07-07-2024,1.38E-04
08-07-2024,8.17E-05
09-07-2024,
10-07-2024,
11-07-2024,1.35E-04
12-07-2024,9.75E-05
13-07-2024,1.62E-04
14-07-2024,1.38E-04
15-07-2024,1.06E-04
16-07-2024,8.49E-05
17-07-2024,1.09E-04
18-07-2024,
19-07-2024,1.90E-04
20-07-2024,1.20E-04
21-07-2024,1.06E-04
22-07-2024,
23-07-2024,1.48E-04
24-07-2024,1.40E-04
25-07-2024,1.45E-04
26-07-2024,
27-07-2024,1.53E-04
28-07-2024,9.30E-05
29-07-2024,1.10E-04
30-07-2024,1.35E-04
31-07-2024,1.08E-04
01-08-2024,1.58E-04
02-08-2024,
03-08-2024,9.33E-05
04-08-2024,7.90E-05
05-08-2024,6.63E-05
06-08-2024,1.13E-04
07-08-2024,1.41E-04
08-08-2024,9.87E-05
09-08-2024,8.39E-05
10-08-2024,1.20E-04
11-08-2024,1.39E-04
12-08-2024,1.01E-04
13-08-2024,9.93E-05
14-08-2024,1.17E-04
15-08-2024,9.57E-05
16-08-2024,7.34E-05
17-08-2024,1.25E-04
18-08-2024,8.30E-05
19-08-2024,9.44E-05
20-08-2024,1.28E-04
21-08-2024,1.25E-04
22-08-2024,1.21E-04
23-08-2024,
24-08-2024,1.14E-04
25-08-2024,1.04E-04
26-08-2024,1.00E-04
27-08-2024,8.86E-05
28-08-2024,8.57E-05
29-08-2024,4.80E-05
30-08-2024,1.35E-04
31-08-2024,1.08E-04
01-09-2024,1.02E-04
02-09-2024,1.03E-04
03-09-2024,9.16E-05
04-09-2024,
05-09-2024,1.58E-04
06-09-2024,1.31E-04
07-09-2024,1.36E-04
08-09-2024,
09-09-2024,1.37E-04
10-09-2024,1.27E-04
11-09-2024,8.19E-05
12-09-2024,
13-09-2024,8.22E-05
14-09-2024,9.71E-05
15-09-2024,9.88E-05
16-09-2024,1.12E-04
17-09-2024,1.54E-04
18-09-2024,
19-09-2024,1.03E-04
20-09-2024,1.38E-04
21-09-2024,1.44E-04
22-09-2024,1.25E-04
23-09-2024,2.04E-04
24-09-2024,
25-09-2024,1.73E-04
26-09-2024,1.35E-04
27-09-2024,1.26E-04
28-09-2024,2.10E-04
29-09-2024,1.03E-04
30-09-2024,1.40E-04
01-10-2024,1.15E-04
02-10-2024,1.13E-04
03-10-2024,1.43E-04
04-10-2024,1.47E-04
05-10-2024,1.40E-04
06-10-2024,1.45E-04
07-10-2024,1.60E-04
08-10-2024,1.82E-04
09-10-2024,2.00E-04
10-10-2024,1.28E-04
11-10-2024,1.41E-04
12-10-2024,1.46E-04
13-10-2024,1.99E-04
14-10-2024,2.51E-04
15-10-2024,1.68E-04
16-10-2024,2.28E-04
17-10-2024,2.02E-04
18-10-2024,3.06E-04
19-10-2024,3.63E-04
20-10-2024,1.87E-04
21-10-2024,2.54E-04
22-10-2024,2.09E-04
23-10-2024,1.36E-04
24-10-2024,1.69E-04
25-10-2024,1.49E-04
26-10-2024,1.91E-04
27-10-2024,2.40E-04
28-10-2024,1.64E-04
29-10-2024,2.08E-04
30-10-2024,4.15E-04
31-10-2024,1.31E-04
01-11-2024,1.31E-04
02-11-2024,2.27E-04
03-11-2024,3.70E-04
04-11-2024,2.20E-04
05-11-2024,2.07E-04
06-11-2024,3.50E-04
07-11-2024,2.41E-04
08-11-2024,1.41E-04
09-11-2024,1.41E-04
10-11-2024,1.94E-04
11-11-2024,2.95E-04
12-11-2024,1.53E-04
13-11-2024,1.71E-04
14-11-2024,2.33E-04
15-11-2024,1.39E-04
16-11-2024,1.52E-04
17-11-2024,1.09E-04
18-11-2024,9.67E-05
19-11-2024,1.36E-04
20-11-2024,1.78E-04
21-11-2024,1.77E-04
22-11-2024,1.95E-04
23-11-2024,2.45E-04
24-11-2024,1.32E-04
25-11-2024,1.13E-04
26-11-2024,1.19E-04
27-11-2024,1.52E-04
28-11-2024,1.73E-04
29-11-2024,3.68E-04
30-11-2024,2.01E-04
01-12-2024,1.45E-04
02-12-2024,1.92E-04
03-12-2024,1.47E-04
04-12-2024,1.29E-04
05-12-2024,1.86E-04
06-12-2024,1.65E-04
07-12-2024,2.67E-04
08-12-2024,1.05E-04
09-12-2024,2.82E-04
10-12-2024,1.70E-04
11-12-2024,1.62E-04
12-12-2024,1.77E-04
13-12-2024,1.19E-04
14-12-2024,1.60E-04
15-12-2024,2.95E-04
16-12-2024,3.74E-04
17-12-2024,2.31E-04
18-12-2024,3.64E-04
19-12-2024,1.29E-04
20-12-2024,2.07E-04
21-12-2024,2.07E-04
22-12-2024,2.84E-04
23-12-2024,1.55E-04
24-12-2024,1.43E-04
25-12-2024,2.08E-04
26-12-2024,3.06E-04
27-12-2024,
28-12-2024,1.26E-04
29-12-2024,7.74E-05
30-12-2024,1.23E-04
